This date, then the wip was;WIP;This date, then the baclog was;Backlog
Sun May 02 00:00:00 CEST 2010;89;Tue Apr 27 00:00:00 CEST 2010;180
Mon May 03 00:00:00 CEST 2010;103;Wed Apr 28 00:00:00 CEST 2010;189
Tue May 04 00:00:00 CEST 2010;110;Thu Apr 29 00:00:00 CEST 2010;186
Wed May 05 00:00:00 CEST 2010;101;Fri Apr 30 00:00:00 CEST 2010;174
Thu May 06 00:00:00 CEST 2010;91;Sun May 02 00:00:00 CEST 2010;164
Fri May 07 00:00:00 CEST 2010;86;Mon May 03 00:00:00 CEST 2010;166
Mon May 10 00:00:00 CEST 2010;66;Tue May 04 00:00:00 CEST 2010;165
Tue May 11 00:00:00 CEST 2010;76;Wed May 05 00:00:00 CEST 2010;162
Wed May 12 00:00:00 CEST 2010;76;Thu May 06 00:00:00 CEST 2010;154
Fri May 14 00:00:00 CEST 2010;53;Fri May 07 00:00:00 CEST 2010;153
Mon May 17 00:00:00 CEST 2010;53;Mon May 10 00:00:00 CEST 2010;182
Tue May 18 00:00:00 CEST 2010;64;Tue May 11 00:00:00 CEST 2010;184
Wed May 19 00:00:00 CEST 2010;77;Wed May 12 00:00:00 CEST 2010;182
Thu May 20 00:00:00 CEST 2010;82;Thu May 13 00:00:00 CEST 2010;177
Fri May 21 00:00:00 CEST 2010;82;Fri May 14 00:00:00 CEST 2010;183
Mon May 24 00:00:00 CEST 2010;71;Tue May 18 00:00:00 CEST 2010;187
Tue May 25 00:00:00 CEST 2010;83;Wed May 19 00:00:00 CEST 2010;193
Wed May 26 00:00:00 CEST 2010;91;Thu May 20 00:00:00 CEST 2010;186
Thu May 27 00:00:00 CEST 2010;96;Fri May 21 00:00:00 CEST 2010;178
Fri May 28 00:00:00 CEST 2010;102;Tue May 25 00:00:00 CEST 2010;187
Mon May 31 00:00:00 CEST 2010;95;Wed May 26 00:00:00 CEST 2010;184
Tue Jun 01 00:00:00 CEST 2010;105;Thu May 27 00:00:00 CEST 2010;188
Wed Jun 02 00:00:00 CEST 2010;120;Fri May 28 00:00:00 CEST 2010;193
Thu Jun 03 00:00:00 CEST 2010;127;Mon May 31 00:00:00 CEST 2010;184
Fri Jun 04 00:00:00 CEST 2010;129;Tue Jun 01 00:00:00 CEST 2010;206
Sat Jun 05 00:00:00 CEST 2010;114;Wed Jun 02 00:00:00 CEST 2010;200
Mon Jun 07 00:00:00 CEST 2010;120;Thu Jun 03 00:00:00 CEST 2010;189
Tue Jun 08 00:00:00 CEST 2010;143;Fri Jun 04 00:00:00 CEST 2010;186
Wed Jun 09 00:00:00 CEST 2010;142;Mon Jun 07 00:00:00 CEST 2010;192
Thu Jun 10 00:00:00 CEST 2010;137;Tue Jun 08 00:00:00 CEST 2010;193
Fri Jun 11 00:00:00 CEST 2010;151;Wed Jun 09 00:00:00 CEST 2010;191
Sat Jun 12 00:00:00 CEST 2010;138;Thu Jun 10 00:00:00 CEST 2010;191
Mon Jun 14 00:00:00 CEST 2010;141;Fri Jun 11 00:00:00 CEST 2010;202
Tue Jun 15 00:00:00 CEST 2010;149;Sat Jun 12 00:00:00 CEST 2010;178
Wed Jun 16 00:00:00 CEST 2010;141;Mon Jun 14 00:00:00 CEST 2010;200
Thu Jun 17 00:00:00 CEST 2010;128;Tue Jun 15 00:00:00 CEST 2010;195
Fri Jun 18 00:00:00 CEST 2010;114;Wed Jun 16 00:00:00 CEST 2010;200
Sun Jun 20 00:00:00 CEST 2010;84;Thu Jun 17 00:00:00 CEST 2010;193
Mon Jun 21 00:00:00 CEST 2010;102;Fri Jun 18 00:00:00 CEST 2010;181
Tue Jun 22 00:00:00 CEST 2010;103;Sun Jun 20 00:00:00 CEST 2010;166
Wed Jun 23 00:00:00 CEST 2010;91;Mon Jun 21 00:00:00 CEST 2010;173
Thu Jun 24 00:00:00 CEST 2010;91;Tue Jun 22 00:00:00 CEST 2010;163
Fri Jun 25 00:00:00 CEST 2010;81;Wed Jun 23 00:00:00 CEST 2010;161
Mon Jun 28 00:00:00 CEST 2010;88;Thu Jun 24 00:00:00 CEST 2010;161
