ID,Type,Created Date,Date From,Date To,Lead Time,Lines Added,Lines Modified,Lines Deleted,Team
1642.0, Bug , 2008-05-28 , 2008-05-28 , 2008-06-19 ,1.0,0.0,0.0,0.0,
157.0, Bug , 2008-04-15 , 2008-04-24 , 2008-04-30 ,1.0,0.0,0.0,0.0,
218.0, Bug , 2008-04-15 , 2008-04-25 , 2008-04-29 ,1.0,0.0,0.0,0.0,
221.0, Bug , 2008-04-15 , 2008-04-25 , 2008-05-06 ,1.0,0.0,0.0,0.0,
233.0, Bug , 2008-04-15 , 2008-06-11 , 2008-06-11 ,1.0,0.0,0.0,0.0,
411.0, Bug , 2008-04-17 , 2008-05-30 , 2008-06-12 ,1.0,0.0,0.0,0.0,
476.0, Bug , 2008-04-21 , 2008-04-25 , 2008-04-29 ,1.0,0.0,0.0,0.0,
635.0, Bug , 2008-04-23 , 2008-04-28 , 2008-04-29 ,1.0,0.0,0.0,0.0,
640.0, Bug , 2008-04-23 , 2008-04-25 , 2008-04-29 ,1.0,0.0,0.0,0.0,
698.0, Bug , 2008-04-25 , 2008-04-28 , 2008-04-29 ,1.0,0.0,0.0,0.0,
736.0, Bug , 2008-04-25 , 2008-06-11 , 2008-06-11 ,1.0,0.0,0.0,0.0,
753.0, Bug , 2008-04-25 , 2008-04-28 , 2008-04-29 ,1.0,0.0,0.0,0.0,
906.0, Bug , 2008-04-30 , 2008-05-30 , 2008-06-03 ,1.0,0.0,0.0,0.0,
921.0, Bug , 2008-04-30 , 2008-05-30 , 2008-06-03 ,1.0,0.0,0.0,0.0,
1028.0, Bug , 2008-05-02 , 2008-05-02 , 2008-05-02 ,1.0,0.0,0.0,0.0,
1037.0, Bug , 2008-05-05 , 2008-05-05 , 2008-05-05 ,1.0,0.0,0.0,0.0,
1088.0, Bug , 2008-05-06 , 2008-05-06 , 2008-05-28 ,1.0,0.0,0.0,0.0,
1092.0, Bug , 2008-05-06 , 2008-05-06 , 2008-05-28 ,1.0,0.0,0.0,0.0,
1207.0, Bug , 2008-05-13 , 2008-06-06 , 2008-06-06 ,1.0,0.0,0.0,0.0,
1215.0, Bug , 2008-05-13 , 2008-05-13 , 2008-05-14 ,1.0,0.0,0.0,0.0,
1259.0, Bug , 2008-05-14 , 2008-05-14 , 2008-05-20 ,1.0,0.0,0.0,0.0,
1262.0, Bug , 2008-05-15 , 2008-05-30 , 2008-06-11 ,1.0,0.0,0.0,0.0,
1263.0, Bug , 2008-05-15 , 2008-06-02 , 2008-06-02 ,1.0,0.0,0.0,0.0,
1379.0, Bug , 2008-05-19 , 2008-05-30 , 2008-06-02 ,1.0,0.0,0.0,0.0,
1421.0, Bug , 2008-05-20 , 2008-06-10 , 2008-06-12 ,1.0,0.0,0.0,0.0,
1450.0, Bug , 2008-05-21 , 2008-05-21 , 2008-05-26 ,1.0,0.0,0.0,0.0,
1502.0, Bug , 2008-05-22 , 2008-05-22 , 2008-05-22 ,1.0,0.0,0.0,0.0,
1504.0, Bug , 2008-05-22 , 2008-05-22 , 2008-05-22 ,1.0,0.0,0.0,0.0,
1534.0, Bug , 2008-05-23 , 2008-05-30 , 2008-06-11 ,1.0,0.0,0.0,0.0,
1543.0, Bug , 2008-05-23 , 2008-05-30 , 2008-06-02 ,1.0,0.0,0.0,0.0,
1562.0, Bug , 2008-05-23 , 2008-06-04 , 2008-06-04 ,1.0,0.0,0.0,0.0,
1570.0, Bug , 2008-05-26 , 2008-06-10 , 2008-06-10 ,1.0,0.0,0.0,0.0,
1571.0, Bug , 2008-05-26 , 2008-05-30 , 2008-06-03 ,1.0,0.0,0.0,0.0,
1597.0, Bug , 2008-05-26 , 2008-05-30 , 2008-06-02 ,1.0,0.0,0.0,0.0,
1611.0, Bug , 2008-05-26 , 2008-06-10 , 2008-06-10 ,1.0,0.0,0.0,0.0,
1622.0, Bug , 2008-05-27 , 2008-05-30 , 2008-06-04 ,1.0,0.0,0.0,0.0,
1659.0, Bug , 2008-05-29 , 2008-05-30 , 2008-06-02 ,1.0,0.0,0.0,0.0,
1683.0, Bug , 2008-05-29 , 2008-06-11 , 2008-06-12 ,1.0,0.0,0.0,0.0,
1685.0, Bug , 2008-05-30 , 2008-06-02 , 2008-06-03 ,1.0,0.0,0.0,0.0,
1705.0, Bug , 2008-06-02 , 2008-06-02 , 2008-06-04 ,1.0,0.0,0.0,0.0,
1715.0, Bug , 2008-06-02 , 2008-06-02 , 2008-06-02 ,1.0,0.0,0.0,0.0,
1717.0, Bug , 2008-06-02 , 2008-06-02 , 2008-06-09 ,1.0,0.0,0.0,0.0,
1722.0, Bug , 2008-06-03 , 2008-06-03 , 2008-06-09 ,1.0,0.0,0.0,0.0,
1737.0, Bug , 2008-06-04 , 2008-06-09 , 2008-06-09 ,1.0,0.0,0.0,0.0,
1740.0, Bug , 2008-06-04 , 2008-06-04 , 2008-06-04 ,1.0,0.0,0.0,0.0,
1745.0, Bug , 2008-06-04 , 2008-06-04 , 2008-06-19 ,1.0,0.0,0.0,0.0,
1759.0, Bug , 2008-06-05 , 2008-06-10 , 2008-06-11 ,1.0,0.0,0.0,0.0,
1793.0, Bug , 2008-06-06 , 2008-06-06 , 2008-06-10 ,1.0,0.0,0.0,0.0,
1796.0, Bug , 2008-06-09 , 2008-06-09 , 2008-06-10 ,1.0,0.0,0.0,0.0,
1807.0, Bug , 2008-06-09 , 2008-06-12 , 2008-06-12 ,1.0,0.0,0.0,0.0,
1812.0, Bug , 2008-06-09 , 2008-06-09 , 2008-06-13 ,1.0,0.0,0.0,0.0,
1815.0, Bug , 2008-06-09 , 2008-06-09 , 2008-06-10 ,1.0,0.0,0.0,0.0,
1820.0, Bug , 2008-06-10 , 2008-06-10 , 2008-06-10 ,1.0,0.0,0.0,0.0,
1822.0, Bug , 2008-06-10 , 2008-06-19 , 2008-06-19 ,1.0,0.0,0.0,0.0,
1859.0, Bug , 2008-06-10 , 2008-06-11 , 2008-06-11 ,1.0,0.0,0.0,0.0,
1912.0, Bug , 2008-06-11 , 2008-06-11 , 2008-06-11 ,1.0,0.0,0.0,0.0,
1914.0, Bug , 2008-06-11 , 2008-06-11 , 2008-06-12 ,1.0,0.0,0.0,0.0,
1916.0, Bug , 2008-06-12 , 2008-06-12 , 2008-06-12 ,1.0,0.0,0.0,0.0,
1924.0, Bug , 2008-06-12 , 2008-06-12 , 2008-06-12 ,1.0,0.0,0.0,0.0,
1931.0, Bug , 2008-06-12 , 2008-06-19 , 2008-06-19 ,1.0,0.0,0.0,0.0,
1970.0, Bug , 2008-06-13 , 2008-06-13 , 2008-06-13 ,1.0,0.0,0.0,0.0,
1975.0, Bug , 2008-06-13 , 2008-06-13 , 2008-06-13 ,1.0,0.0,0.0,0.0,
1981.0, Bug , 2008-06-16 , 2008-06-18 , 2008-06-18 ,1.0,0.0,0.0,0.0,
1986.0, Bug , 2008-06-16 , 2008-06-17 , 2008-06-17 ,1.0,0.0,0.0,0.0,
1988.0, Bug , 2008-06-16 , 2008-06-17 , 2008-06-17 ,1.0,0.0,0.0,0.0,
1989.0, Bug , 2008-06-17 , 2008-06-17 , 2008-06-17 ,1.0,0.0,0.0,0.0,
1994.0, Bug , 2008-06-17 , 2008-06-17 , 2008-06-17 ,1.0,0.0,0.0,0.0,
1995.0, Bug , 2008-06-17 , 2008-06-17 , 2008-06-18 ,1.0,0.0,0.0,0.0,
2010.0, Bug , 2008-06-17 , 2008-06-17 , 2008-06-17 ,1.0,0.0,0.0,0.0,
2012.0, Bug , 2008-06-18 , 2008-06-18 , 2008-06-18 ,1.0,0.0,0.0,0.0,
2013.0, Bug , 2008-06-18 , 2008-06-18 , 2008-06-18 ,1.0,0.0,0.0,0.0,
2015.0, Bug , 2008-06-18 , 2008-06-18 , 2008-06-18 ,1.0,0.0,0.0,0.0,
2016.0, Bug , 2008-06-18 , 2008-06-18 , 2008-06-18 ,1.0,0.0,0.0,0.0,
2019.0, Bug , 2008-06-19 , 2008-06-19 , 2008-06-20 ,1.0,0.0,0.0,0.0,
2020.0, Bug , 2008-06-19 , 2008-06-19 , 2008-06-19 ,1.0,0.0,0.0,0.0,
2028.0, Bug , 2008-06-19 , 2008-06-19 , 2008-06-19 ,1.0,0.0,0.0,0.0,
2036.0, Bug , 2008-06-19 , 2008-06-19 , 2008-06-19 ,1.0,0.0,0.0,0.0,
2042.0, Bug , 2008-06-19 , 2008-06-19 , 2008-06-20 ,1.0,0.0,0.0,0.0,
2062.0, Bug , 2008-06-19 , 2008-06-19 , 2008-06-19 ,1.0,0.0,0.0,0.0,
2063.0, Bug , 2008-06-19 , 2008-06-19 , 2008-06-19 ,1.0,0.0,0.0,0.0,
184.0, Bug , 2008-04-15 , 2008-06-04 , 2008-06-17 ,1.0,0.0,0.0,0.0,
198.0, Bug , 2008-04-15 , 2008-09-26 , 2008-09-26 ,1.0,0.0,0.0,0.0,
247.0, Bug , 2008-04-15 , 2008-05-28 , 2008-06-23 ,1.0,0.0,0.0,0.0,
1670.0, Bug , 2008-05-29 , 2008-06-03 , 2008-06-10 ,1.0,0.0,0.0,0.0,
1711.0, Bug , 2008-06-02 , 2008-06-11 , 2008-07-10 ,1.0,0.0,0.0,0.0,
1720.0, Bug , 2008-06-03 , 2008-06-11 , 2008-07-10 ,1.0,0.0,0.0,0.0,
1755.0, Bug , 2008-06-05 , 2008-06-10 , 2008-06-10 ,1.0,0.0,0.0,0.0,
1802.0, Bug , 2008-06-09 , 2008-07-10 , 2008-07-10 ,1.0,0.0,0.0,0.0,
1910.0, Bug , 2008-06-11 , 2008-06-19 , 2008-07-14 ,1.0,0.0,0.0,0.0,
1960.0, Bug , 2008-06-12 , 2008-07-25 , 2008-08-19 ,1.0,0.0,0.0,0.0,
1997.0, Bug , 2008-06-17 , 2008-06-19 , 2008-07-14 ,1.0,0.0,0.0,0.0,
2024.0, Bug , 2008-06-19 , 2008-06-19 , 2008-07-14 ,1.0,0.0,0.0,0.0,
2025.0, Bug , 2008-06-19 , 2008-06-19 , 2008-06-23 ,1.0,0.0,0.0,0.0,
2029.0, Bug , 2008-06-19 , 2008-08-19 , 2008-09-19 ,1.0,0.0,0.0,0.0,
2039.0, Bug , 2008-06-19 , 2008-06-20 , 2008-07-10 ,1.0,0.0,0.0,0.0,
2040.0, Bug , 2008-06-19 , 2008-07-25 , 2008-09-15 ,1.0,0.0,0.0,0.0,
2047.0, Bug , 2008-06-19 , 2008-06-19 , 2008-07-14 ,1.0,0.0,0.0,0.0,
2049.0, Bug , 2008-06-19 , 2008-06-19 , 2008-07-14 ,1.0,0.0,0.0,0.0,
2054.0, Bug , 2008-06-19 , 2008-06-26 , 2008-07-14 ,1.0,0.0,0.0,0.0,
2069.0, Bug , 2008-06-20 , 2008-06-23 , 2008-07-15 ,1.0,0.0,0.0,0.0,
2074.0, Bug , 2008-06-20 , 2008-06-23 , 2008-06-26 ,1.0,0.0,0.0,0.0,
2079.0, Bug , 2008-06-20 , 2008-06-26 , 2008-07-10 ,1.0,0.0,0.0,0.0,
2084.0, Bug , 2008-06-20 , 2008-06-23 , 2008-06-26 ,1.0,0.0,0.0,0.0,
2109.0, Bug , 2008-06-23 , 2008-07-01 , 2008-07-10 ,1.0,0.0,0.0,0.0,
2112.0, Bug , 2008-06-23 , 2008-06-23 , 2008-06-26 ,1.0,0.0,0.0,0.0,
2119.0, Bug , 2008-06-24 , 2008-06-24 , 2008-07-15 ,1.0,0.0,0.0,0.0,
2135.0, Bug , 2008-06-25 , 2008-07-10 , 2008-09-03 ,1.0,0.0,0.0,0.0,
2149.0, Bug , 2008-06-25 , 2008-06-25 , 2008-07-15 ,1.0,0.0,0.0,0.0,
2200.0, Bug , 2008-06-30 , 2008-07-07 , 2008-07-10 ,1.0,0.0,0.0,0.0,
2201.0, Bug , 2008-06-30 , 2008-06-30 , 2008-07-09 ,1.0,0.0,0.0,0.0,
2205.0, Bug , 2008-06-30 , 2008-06-30 , 2008-07-02 ,1.0,0.0,0.0,0.0,
2206.0, Bug , 2008-06-30 , 2008-06-30 , 2008-07-10 ,1.0,0.0,0.0,0.0,
2208.0, Bug , 2008-06-30 , 2008-06-30 , 2008-07-09 ,1.0,0.0,0.0,0.0,
2209.0, Bug , 2008-06-30 , 2008-07-09 , 2008-07-09 ,1.0,0.0,0.0,0.0,
2211.0, Bug , 2008-06-30 , 2008-07-09 , 2008-07-09 ,1.0,0.0,0.0,0.0,
2213.0, Bug , 2008-06-30 , 2008-06-30 , 2008-07-09 ,1.0,0.0,0.0,0.0,
2215.0, Bug , 2008-06-30 , 2008-06-30 , 2008-07-09 ,1.0,0.0,0.0,0.0,
2217.0, Bug , 2008-06-30 , 2008-07-01 , 2008-07-22 ,1.0,0.0,0.0,0.0,
2220.0, Bug , 2008-06-30 , 2008-06-30 , 2008-07-09 ,1.0,0.0,0.0,0.0,
2227.0, Bug , 2008-07-02 , 2008-08-19 , 2008-08-19 ,1.0,0.0,0.0,0.0,
2232.0, Bug , 2008-07-03 , 2008-07-03 , 2008-07-03 ,1.0,0.0,0.0,0.0,
2235.0, Bug , 2008-07-03 , 2008-08-04 , 2008-08-04 ,1.0,0.0,0.0,0.0,
2236.0, Bug , 2008-07-04 , 2008-07-04 , 2008-07-04 ,1.0,0.0,0.0,0.0,
2276.0, Bug , 2008-07-14 , 2008-08-19 , 2008-09-10 ,1.0,0.0,0.0,0.0,
2289.0, Bug , 2008-07-15 , 2008-08-12 , 2008-08-12 ,1.0,0.0,0.0,0.0,
2290.0, Bug , 2008-07-16 , 2008-08-27 , 2008-08-27 ,1.0,0.0,0.0,0.0,
2293.0, Bug , 2008-07-17 , 2008-07-17 , 2008-08-25 ,1.0,0.0,0.0,0.0,
2313.0, Bug , 2008-07-30 , 2008-07-30 , 2008-08-06 ,1.0,0.0,0.0,0.0,
2322.0, Bug , 2008-08-04 , 2008-08-04 , 2008-08-04 ,1.0,0.0,0.0,0.0,
2375.0, Bug , 2008-08-11 , 2008-08-19 , 2008-08-19 ,1.0,0.0,0.0,0.0,
2381.0, Bug , 2008-08-11 , 2008-08-19 , 2008-08-19 ,1.0,0.0,0.0,0.0,
2383.0, Bug , 2008-08-11 , 2008-09-25 , 2008-09-25 ,1.0,0.0,0.0,0.0,
2441.0, Bug , 2008-08-18 , 2008-08-18 , 2008-08-20 ,1.0,0.0,0.0,0.0,
2502.0, Bug , 2008-08-22 , 2008-09-02 , 2008-09-09 ,1.0,0.0,0.0,0.0,
2509.0, Bug , 2008-08-25 , 2008-08-25 , 2008-08-25 ,1.0,0.0,0.0,0.0,
2519.0, Bug , 2008-08-26 , 2008-09-11 , 2008-09-15 ,1.0,0.0,0.0,0.0,
2536.0, Bug , 2008-08-28 , 2008-08-28 , 2008-08-28 ,1.0,0.0,0.0,0.0,
2575.0, Bug , 2008-09-01 , 2008-09-01 , 2008-09-01 ,1.0,0.0,0.0,0.0,
