512
Krypton,4,03-07-2012,2012-3, Kanban,20
Krypton,6,05-07-2012,2012-3, Kanban,61
Krypton,1,04-07-2012,2012-3, Kanban,3
Krypton,4,09-07-2012,2012-3, Kanban,15
Krypton,3,16-08-2012,2012-3, Kanban,47
Krypton,1,10-07-2012,2012-3, Kanban,42
Krypton,4,13-07-2012,2012-3, Kanban,76
Krypton,1,17-08-2012,2012-3, Kanban,1
Krypton,2,05-09-2012,2012-3, Kanban,34
Krypton,4,20-08-2012,2012-3, Kanban,4
Krypton,3,21-08-2012,2012-3, Kanban,3
Krypton,1,24-08-2012,2012-3, Kanban,6
Krypton,3,28-08-2012,2012-3, Kanban,5
Krypton,1,27-08-2012,2012-3, Kanban,3
Krypton,3,12-09-2012,2012-3, Kanban,29
Krypton,2,30-08-2012,2012-3, Kanban,4
Krypton,1,03-09-2012,2012-3, Kanban,2
Krypton,9,10-09-2012,2012-3, Kanban,35
Krypton,4,20-09-2012,2012-3, Kanban,34
Krypton,1,07-09-2012,2012-3, Kanban,7
Krypton,1,11-09-2012,2012-3, Kanban,23
Krypton,1,13-09-2012,2012-3, Kanban,9
Krypton,3,18-09-2012,2012-3, Kanban,3
Krypton,2,21-09-2012,2012-3, Kanban,2
Krypton,1,24-09-2012,2012-3, Kanban,17
