ID;Date From;Date To;Lead Time;Process Type;Type;Team
13220;2009-10-15;2009-10-15;22;Scrum;Feature;
13223;2009-11-09;2009-11-09;1;Scrum;Bug;
13231;2009-10-20;2009-10-22;1;Scrum;Bug;
13233;2009-10-15;2009-10-15;39;Scrum;Feature;
13238;2010-02-08;2010-02-08;16;Scrum;Bug;
13243;2009-10-16;2009-10-16;5;Scrum;Bug;
13247;2009-10-16;2009-10-29;1;Scrum;Bug;
13248;2009-10-16;2009-10-16;49;Scrum;Bug;
13260;2009-11-12;2009-11-12;5;Scrum;Bug;
13262;2009-10-16;2009-10-16;11;Scrum;Bug;
13263;2009-10-20;2009-10-20;3;Scrum;Bug;
13277;2009-10-16;2009-10-16;94;Scrum;Bug;
13294;2009-10-19;2009-10-19;9;Scrum;Bug;
13295;2009-10-19;2009-10-20;27;Scrum;Bug;
13296;2009-10-20;2009-10-20;2;Scrum;Bug;
13298;2009-10-19;2009-10-19;14;Scrum;Bug;
13306;2009-10-20;2009-10-20;3;Scrum;Bug;
13309;2009-10-19;2009-10-19;14;Scrum;Bug;
13318;2009-10-21;2009-10-21;4;Scrum;Bug;
13321;2009-10-20;2009-10-20;2;Scrum;Bug;
13328;2009-10-20;2009-10-20;23;Scrum;Feature;
13333;2009-12-01;2009-12-01;2;Scrum;Bug;
13334;2009-12-03;2009-12-04;3;Scrum;Bug;
13340;2009-10-20;2009-10-20;2;Scrum;Bug;
13347;2009-10-20;2009-10-20;2;Scrum;Bug;
13352;2009-10-20;2009-10-20;1;Scrum;Bug;
13357;2009-10-20;2009-10-20;6;Scrum;Bug;
13360;2009-10-20;2009-10-20;2;Scrum;Bug;
13363;2009-10-20;2009-10-20;42;Scrum;Bug;
13367;2009-10-20;2009-10-20;6;Scrum;Bug;
13372;2009-10-21;2009-10-21;5;Scrum;Bug;
13376;2009-10-21;2009-10-21;1;Scrum;Bug;
13384;2009-10-21;2009-10-21;12;Scrum;Bug;
13386;2009-10-21;2009-11-17;1;Scrum;Bug;
13388;2009-10-22;2009-10-22;1;Scrum;Bug;
13392;2009-10-22;2009-10-22;7;Scrum;Bug;
13402;2009-10-21;2009-10-21;2;Scrum;Bug;
13413;2009-10-22;2009-10-22;2;Scrum;Bug;
13417;2009-10-21;2009-10-21;28;Scrum;Bug;
13427;2009-10-21;2009-10-22;1;Scrum;Bug;
13428;2009-12-09;2010-02-11;1;Scrum;Bug;
13431;2009-10-22;2009-10-22;28;Scrum;Bug;
13438;2009-10-22;2009-10-22;36;Scrum;Bug;
13439;2009-10-22;2009-10-22;43;Scrum;Bug;
13450;2009-10-22;2009-10-22;35;Scrum;Bug;
13455;2009-11-03;2009-11-11;100;Scrum;Bug;
13456;2009-10-22;2009-10-22;1;Scrum;Bug;
13458;2009-10-22;2009-10-22;35;Scrum;Bug;
13468;2009-11-03;2009-11-11;17;Scrum;Bug;
13469;2009-11-03;2009-11-11;1;Scrum;Bug;
13472;2009-11-03;2009-11-11;16;Scrum;Bug;
13473;2009-11-03;2009-11-11;17;Scrum;Bug;
13474;2009-11-03;2009-11-11;17;Scrum;Bug;
13475;2009-10-23;2009-10-23;4;Scrum;Bug;
13476;2009-11-03;2009-11-11;17;Scrum;Bug;
13480;2009-10-23;2009-10-23;4;Scrum;Bug;
13487;2009-10-23;2009-10-23;60;Scrum;Feature;
13491;2009-10-29;2009-10-29;5;Scrum;Bug;
13493;2009-11-06;2009-11-24;18;Scrum;Feature;
13494;2009-10-23;2009-10-23;26;Scrum;Bug;
13501;2010-02-22;2010-02-22;1;Scrum;Bug;
13502;2009-12-04;2009-12-22;56;Scrum;Bug;
13503;2009-10-26;2009-10-26;1;Scrum;Feature;
13507;2009-10-26;2009-10-26;1;Scrum;Bug;
13520;2009-10-26;2009-10-26;37;Scrum;Bug;
13521;2009-10-27;2009-10-27;1;Scrum;Bug;
13526;2010-02-24;2010-02-24;13;Scrum;Bug;
13555;2009-10-27;2009-10-27;1;Scrum;Bug;
13563;2009-11-09;2009-11-09;15;Scrum;Feature;
13564;2009-11-09;2009-11-11;1;Scrum;Bug;
13565;2009-11-10;2010-02-11;33;Scrum;Bug;
13566;2009-11-04;2009-11-10;3;Scrum;Bug;
13570;2009-11-11;2009-11-16;2;Scrum;Bug;
13574;2009-11-20;2009-11-20;11;Scrum;Bug;
13578;2009-10-28;2009-10-28;1;Scrum;Bug;
13579;2009-10-27;2009-10-27;28;Scrum;Bug;
13584;2009-11-17;2009-11-17;48;Scrum;Feature;
13585;2009-11-05;2009-11-17;95;Scrum;Feature;
13587;2009-11-17;2009-11-18;64;Scrum;Feature;
13589;2009-10-27;2009-10-28;20;Scrum;Bug;
13591;2009-10-28;2009-10-29;1;Scrum;Bug;
13593;2009-11-05;2009-11-13;150;Scrum;Feature;
